postal_code,gender,age,concern_local,concern_global,information,education,income,concerned_local_binary,concerned_global_binary,informed_binary
M1S,Woman,69,Extremely concerned,Very concerned,Extremely informed,High school or less,"Under $40,000",TRUE,TRUE,TRUE
M4E,Woman,70,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M5S,Man,49,Not very concerned,Not very concerned,Not very informed,Completed undergraduate degree,"$60,001 to $80,000",FALSE,FALSE,FALSE
M5C,Man,57,Not very concerned,Not very concerned,Very informed,"Some community college, vocational, trade school","$80,001 to $100,000",FALSE,FALSE,TRUE
M4p,Woman,44,Very concerned,Very concerned,Very informed,Some university,"$40,001 to $60,000",TRUE,TRUE,TRUE
M9V,Woman,21,Extremely concerned,Extremely concerned,Very informed,Some university,"$60,001 to $80,000",TRUE,TRUE,TRUE
M3M,Man,74,Very concerned,Very concerned,Very informed,High school or less,"$40,001 to $60,000",TRUE,TRUE,TRUE
M5V,Man,35,Extremely concerned,Extremely concerned,Not very informed,High school or less,"Under $40,000",TRUE,TRUE,FALSE
M1N,Woman,34,Extremely concerned,Extremely concerned,Very informed,High school or less,"Under $40,000",TRUE,TRUE,TRUE
M6M,Man,46,Extremely concerned,Extremely concerned,Not very informed,Some university,"$60,001 to $80,000",TRUE,TRUE,FALSE
